# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blacklisted workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_when_started time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1529305702355802 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 15 0 0 0 0 0 1529305701516832 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0 0 0 0 0 0 0 0 0 0 0 0
1529305709258887 1 0 0 1 1 1 0 0 0 0 0 0 14 1 0 0 15 0 0 0 0 0 1529305701516832 549 64 0 0 463 1192 6108030 841617 0 0 0 77205874 0 1.000000 10 10 5120 10240 10 10 8 15785 55170 0 0 0 8 15785 55170 0 0 0
1529305710235611 1 0 0 1 1 1 0 0 0 0 0 0 14 1 1 1 15 1 0 0 0 0 1529305701516832 790951 83 0 0 599 1242 7075549 841617 933725 0 0 77205874 0 1.000000 10 10 5120 10240 10 10 8 15785 55170 8 15785 55170 8 15785 55170 0 0 0
1529305710256707 1 0 1 0 1 1 0 0 0 0 0 0 14 0 0 0 15 1 1 0 0 0 1529305701516832 790951 83 0 0 9267 1242 7075549 841617 933725 0 0 77205874 0 1.000000 10 10 5120 10240 10 10 8 15785 55170 8 15785 55170 8 15785 55170 0 0 0
1529305710256883 1 0 1 0 1 1 0 0 0 0 0 0 14 0 0 0 15 1 1 0 0 0 1529305701516832 790951 21220 0 0 9267 1242 7075549 841617 933725 0 0 77205874 0 1.000000 10 80 157850 551700 2 2 8 15785 55170 0 0 0 8 15785 55170 0 0 0
1529305710256962 1 0 1 0 1 1 0 0 0 0 0 0 14 0 0 0 15 1 1 1 0 0 1529305701516832 790951 21220 0 0 9267 1340 7075549 841617 933725 0 0 77205874 0 1.000000 10 80 157850 551700 2 2 8 15785 55170 0 0 0 8 15785 55170 0 0 0
1529305710274168 1 0 1 0 1 1 0 0 0 0 0 0 15 0 0 0 15 1 1 1 0 0 1529305701516832 790951 21220 0 0 9267 1340 7075549 841617 933725 0 0 77205874 0 1.000000 10 80 157850 551700 2 2 8 15785 55170 0 0 0 8 15785 55170 0 0 0
1529305710274955 1 0 0 1 1 1 0 0 0 0 0 0 14 1 0 0 16 1 1 1 0 0 1529305701516832 790951 21222 0 0 9267 1351 7075554 858886 933725 0 0 77207115 0 1.000000 10 80 157850 551700 2 2 8 15785 55170 0 0 0 8 15785 55170 0 0 0
1529305711398622 1 0 0 1 1 1 0 0 0 0 0 0 14 1 1 1 16 2 1 1 0 0 1529305701516832 791977 21229 0 0 9328 1401 8190206 858886 2039081 0 0 77207115 0 1.000000 10 80 157850 551700 2 2 8 15785 55170 8 15785 55170 8 15785 55170 0 0 0
1529305711419250 1 0 1 0 1 1 0 0 0 0 0 0 14 0 0 0 16 2 2 1 0 0 1529305701516832 791977 21229 0 0 17946 1401 8190206 858886 2039081 0 0 77207115 0 1.000000 10 80 157850 551700 2 2 8 15785 55170 8 15785 55170 8 15785 55170 0 0 0
